bananapim64/Focal_current_nightly.sha|bananapim64/nightly/Armbian_21.02.0-trunk.2_Bananapim64_focal_current_5.9.11.img.xz.sha|Nov 26 2020|1M
bananapim64/Focal_current.sha|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapim64/Focal_current.torrent|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapipro/Bionic_current|bananapipro/archive/Armbian_20.11_Bananapipro_bionic_current_5.8.16.img.xz|Nov 25 2020|260M
bananapipro/Bionic_current.asc|bananapipro/archive/Armbian_20.11_Bananapipro_bionic_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapipro/Bionic_current.sha|bananapipro/archive/Armbian_20.11_Bananapipro_bionic_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapipro/Bionic_current.torrent|bananapipro/archive/Armbian_20.11_Bananapipro_bionic_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapipro/Bullseye_current|bananapipro/archive/Armbian_20.11_Bananapipro_bullseye_current_5.8.16.img.xz|Nov 25 2020|504M
bananapipro/Bullseye_current.asc|bananapipro/archive/Armbian_20.11_Bananapipro_bullseye_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapipro/Bullseye_current.sha|bananapipro/archive/Armbian_20.11_Bananapipro_bullseye_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapipro/Bullseye_current.torrent|bananapipro/archive/Armbian_20.11_Bananapipro_bullseye_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapipro/Buster_current|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16.img.xz|Nov 25 2020|348M
bananapipro/Buster_current.asc|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapipro/Buster_current_desktop|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_desktop.img.xz|Nov 25 2020|677M
bananapipro/Buster_current_desktop.asc|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_desktop.img.xz.asc|Nov 25 2020|1M
bananapipro/Buster_current_desktop.sha|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_desktop.img.xz.sha|Nov 25 2020|1M
bananapipro/Buster_current_desktop.torrent|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_desktop.img.xz.torrent|Nov 28 2020|1M
bananapipro/Buster_current_minimal|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_minimal.img.xz|Nov 25 2020|171M
bananapipro/Buster_current_minimal.asc|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_minimal.img.xz.asc|Nov 25 2020|1M
bananapipro/Buster_current_minimal.sha|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_minimal.img.xz.sha|Nov 25 2020|1M
bananapipro/Buster_current_minimal.torrent|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16_minimal.img.xz.torrent|Nov 28 2020|1M
bananapipro/Buster_current_nightly|bananapipro/nightly/Armbian_21.02.0-trunk.2_Bananapipro_buster_current_5.9.11.img.xz|Nov 26 2020|342M
bananapipro/Buster_current_nightly.asc|bananapipro/nightly/Armbian_21.02.0-trunk.2_Bananapipro_buster_current_5.9.11.img.xz.asc|Nov 26 2020|1M
bananapipro/Buster_current_nightly.sha|bananapipro/nightly/Armbian_21.02.0-trunk.2_Bananapipro_buster_current_5.9.11.img.xz.sha|Nov 26 2020|1M
bananapipro/Buster_current.sha|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapipro/Buster_current.torrent|bananapipro/archive/Armbian_20.11_Bananapipro_buster_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapipro/Focal_current|bananapipro/archive/Armbian_20.11_Bananapipro_focal_current_5.8.16.img.xz|Nov 25 2020|269M
bananapipro/Focal_current.asc|bananapipro/archive/Armbian_20.11_Bananapipro_focal_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapipro/Focal_current_desktop|bananapipro/archive/Armbian_20.11_Bananapipro_focal_current_5.8.16_desktop.img.xz|Nov 25 2020|549M
